Title,ID,title,overview,release_date,runtime,budget,revenue,genres,production_companies,production_countries,spoken_languages,tagline,rating,votes
The Peanuts Movie,227973,The Peanuts Movie,"Snoopy embarks upon his greatest mission as he and his team take to the skies to pursue their arch-nemesis, while his best pal Charlie Brown begins his own epic quest.",2015-11-01,88,99000000,246233113,"['Comedy', 'Animation', 'Family']","['Blue Sky Studios', '20th Century Fox Animation', '20th Century Fox']",['United States of America'],['English'],The story of an underdog. And his dog.,6.9,1426
Cloudy with a Chance of Meatballs,22794,Cloudy with a Chance of Meatballs,"Inventor Flint Lockwood creates a machine that makes clouds rain food, enabling the down-and-out citizens of Chewandswallow to feed themselves. But when the falling food reaches gargantuan proportions, Flint must scramble to avert disaster. Can he regain control of the machine and put an end to the wild weather before the town is destroyed?",2009-09-17,90,100000000,242988466,"['Animation', 'Comedy', 'Family']","['Sony Pictures Animation', 'Columbia Pictures']",['United States of America'],['English'],Prepare to get served.,6.603,5290
Madagascar,953,Madagascar,"Alex the lion is the king of the urban jungle, the main attraction at New York's Central Park Zoo. He and his best friends—Marty the zebra, Melman the giraffe and Gloria the hippo—have spent their whole lives in blissful captivity before an admiring public and with regular meals provided for them. Not content to leave well enough alone, Marty lets his curiosity get the better of him and makes his escape—with the help of some prodigious penguins—to explore the world.",2005-05-25,86,75000000,542063846,"['Family', 'Animation', 'Adventure', 'Comedy']","['DreamWorks Pictures', 'Pacific Data Images', 'DreamWorks Animation']",['United States of America'],"['English', 'Français', 'Deutsch', 'Português', 'Español']",Someone’s got a zoo loose.,6.885,9817
Rio,46195,Rio,"Captured by smugglers when he was just a hatchling, a macaw named Blu never learned to fly and lives a happily domesticated life in Minnesota with his human friend, Linda. Blu is thought to be the last of his kind, but when word comes that Jewel, a lone female, lives in Rio de Janeiro, Blu and Linda go to meet her. Animal smugglers kidnap Blu and Jewel, but the pair soon escape and begin a perilous adventure back to freedom -- and Linda.",2011-04-03,96,90000000,484635760,"['Animation', 'Adventure', 'Comedy', 'Family']","['Blue Sky Studios', '20th Century Fox Animation', '20th Century Fox']",['United States of America'],"['English', 'Português']",1 out of every 8 Americans is afraid of flying. Most of them don't have feathers.,6.716,5998
Atlantis: The Lost Empire,10865,Atlantis: The Lost Empire,"The world's most highly qualified crew of archaeologists and explorers is led by historian Milo Thatch as they board the incredible 1,000-foot submarine Ulysses and head deep into the mysteries of the sea. The underwater expedition takes an unexpected turn when the team's mission must switch from exploring Atlantis to protecting it.",2001-06-02,95,120000000,186053725,"['Animation', 'Family', 'Adventure', 'Science Fiction']","['Walt Disney Pictures', 'Walt Disney Feature Animation']",['United States of America'],"['English', 'Français', 'Español']",Atlantis is waiting...,6.975,4214
A Goofy Movie,15789,A Goofy Movie,"Though Goofy always means well, his amiable cluelessness and klutzy pratfalls regularly embarrass his awkward adolescent son, Max. When Max's lighthearted prank on his high-school principal finally gets his longtime crush, Roxanne, to notice him, he asks her on a date. Max's trouble at school convinces Goofy that he and the boy need to bond over a cross-country fishing trip like the one he took with his dad when he was Max's age, which throws a kink in his son's plans to impress Roxanne.",1995-04-07,78,18000000,35348597,"['Romance', 'Animation', 'Family', 'Comedy', 'Adventure']","['Disney Television Animation', 'DisneyToon Studios', 'Walt Disney Pictures', 'Walt Disney Animation (Australia) PTY. LTD.', 'Phoenix Animation Studios', 'Pixibox']","['Australia', 'Canada', 'France', 'United States of America']",['English'],It’s hard to be cool... when your dad’s Goofy.,6.954,1527
The Croods: A New Age,529203,The Croods: A New Age,"Searching for a safer habitat, the prehistoric Crood family discovers an idyllic, walled-in paradise that meets all of its needs. Unfortunately, they must also learn to live with the Bettermans -- a family that's a couple of steps above the Croods on the evolutionary ladder. As tensions between the new neighbors start to rise, a new threat soon propels both clans on an epic adventure that forces them to embrace their differences, draw strength from one another, and survive together.",2020-11-25,95,65000000,215905815,"['Animation', 'Family', 'Adventure', 'Fantasy', 'Comedy']","['Universal Pictures', 'DreamWorks Animation']",['United States of America'],['English'],The future ain't what it used to be.,7.5,3338
The Road to El Dorado,10501,The Road to El Dorado,"After a failed swindle, two con-men end up with a map to El Dorado, the fabled ""city of gold,"" and an unintended trip to the New World.  Much to their surprise, the map does lead the pair to the mythical city, where the startled inhabitants promptly begin to worship them as gods.  The only question is, do they take the worshipful natives for all they're worth, or is there a bit more to El Dorado than riches?",2000-03-31,89,95000000,76432727,"['Family', 'Adventure', 'Animation', 'Comedy', 'Fantasy']","['DreamWorks Animation', 'DreamWorks Pictures']",['United States of America'],['English'],They came for the gold. They stayed for the adventure.,7.2,3398
Ice Age: Dawn of the Dinosaurs,8355,Ice Age: Dawn of the Dinosaurs,"Times are changing for Manny the moody mammoth, Sid the motor mouthed sloth and Diego the crafty saber-toothed tiger. Life heats up for our heroes when they meet some new and none-too-friendly neighbors – the mighty dinosaurs.",2009-06-26,94,90000000,886686817,"['Animation', 'Comedy', 'Family', 'Adventure']","['Blue Sky Studios', '20th Century Fox Animation', '20th Century Fox']",['United States of America'],['English'],You Won't Believe Your Ice!,6.724,7445
The Rescuers,11319,The Rescuers,"What can two little mice possibly do to save an orphan girl who's fallen into evil hands? With a little cooperation and faith in oneself, anything is possible! As members of the mouse-run International Rescue Aid Society, Bernard and Miss Bianca respond to orphan Penny's call for help. The two mice search for clues with the help of an old cat named Rufus.",1977-06-22,78,1200000,71215869,"['Fantasy', 'Family', 'Animation', 'Adventure']",['Walt Disney Productions'],['United States of America'],['English'],Two tiny agents vs. the world's wickedest woman in a dazzling animated adventure!,6.766,2227
The Shawshank Redemption,278,The Shawshank Redemption,"Framed in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",1994-09-23,142,25000000,28341469,"['Drama', 'Crime']",['Castle Rock Entertainment'],['United States of America'],['English'],Fear can hold you prisoner. Hope can set you free.,8.703,23702
The Godfather,238,The Godfather,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",1972-03-14,175,6000000,245066411,"['Drama', 'Crime']","['Paramount', 'Alfran Productions']",['United States of America'],"['English', 'Italiano', 'Latin']",An offer you can't refuse.,8.712,17849
Hababam Sinifi,83651,The Chaos Class,"Lazy, uneducated students mostly coming from money, share a very close band. They live together in the dormitory of this private highschool, where they daily plan their latest pranks on teachers or the other classes. When a new and obviously strict headmaster arrives, the students naturally try to overthrow him. A comic war of nitwits follows.",1975-04-01,87,0,0,"['Comedy', 'Drama']",['Arzu Film'],['Turkey'],['Türkçe'],,7.9,113
The Dark Knight,155,The Dark Knight,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",2008-07-14,152,185000000,1004558444,"['Drama', 'Action', 'Crime', 'Thriller']","['DC Comics', 'Legendary Pictures', 'Syncopy', 'Isobel Griffiths', 'Warner Bros. Pictures']","['United Kingdom', 'United States of America']","['English', '普通话']",Welcome to a world without rules.,8.509,29623
Schindler's List,424,Schindler's List,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,1993-12-15,195,22000000,321365567,"['Drama', 'History', 'War']",['Amblin Entertainment'],['United States of America'],"['Deutsch', 'Polski', 'עִבְרִית', 'English']","Whoever saves one life, saves the world entire.",8.57,14019
The Lord of the Rings: The Return of the King,122,The Lord of the Rings: The Return of the King,"Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam take the ring closer to the heart of Mordor, the dark lord's realm.",2003-12-01,201,94000000,1118888979,"['Adventure', 'Fantasy', 'Action']","['New Line Cinema', 'WingNut Films', 'The Saul Zaentz Company']","['New Zealand', 'United States of America']",['English'],The eye of the enemy is moving.,8.473,21534
The Godfather Part II,240,The Godfather Part II,"In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.",1974-12-20,202,13000000,102600000,"['Drama', 'Crime']","['Paramount', 'The Coppola Company']",['United States of America'],"['English', 'Italiano', 'Latin', 'Español']","I don't feel I have to wipe everybody out, Tom. Just my enemies.",8.597,10799
12 Angry Men,389,12 Angry Men,"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.",1957-04-10,97,350000,1000000,['Drama'],"['United Artists', 'Orion-Nova Productions']",['United States of America'],['English'],Life is in their hands. Death is on their minds.,8.537,7233
